name,prompt,negative_prompt,description,category
POSE_Leaning_Wall,"(leaning against wall:1.2), wall lean pose, casual wall lean, hip against wall, shoulder to wall, relaxed lean, slouching against wall","standing straight, rigid, dynamic battle",Wall lean pose. Combos: SCENE_Cyberpunk_City; OUTFIT_Streetwear; MOOD_Confident. Urban casual.,POSE
POSE_Seated_Throne,"(seated on throne:1.2), regal sitting position, one leg up, arm on armrest, commanding seated pose, ruler sitting, dominance from seat","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Throne/ruling seated pose. Combos: ARCHETYPE_Male_King; SCENE_Throne_Room; MOOD_Confident.,POSE
POSE_Standing_Relaxed,"1girl, (standing relaxed:1.2), weight on one leg, casual stance, natural standing, hip slightly out","tense, rigid, formal","Default natural stand. Versatile base pose. Combos: any OUTFIT, any SCENE.",POSE
PROPS_Ancient_Tome,"(ancient tome:1.2), old leather book, spell book, grimoire, forbidden book, thick ancient text, cracked spine, glowing pages optional","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Ancient tome/grimoire prop. Combos: ARCHETYPE_Male_Mage; ARCHETYPE_Witch; SCENE_Library.,PROPS
PROPS_Candle,"(candle or candelabra:1.2), wax dripping candle, candleholder, multiple candles, gothic candelabra, flickering flame, candle light source","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Candle/candelabra prop. Combos: LIGHTING_Candlelight; SCENE_Haunted_Mansion; SCENE_Cult_Chamber.,PROPS
PROPS_Potion_Vial,"(potion vials:1.2), glass vials with colored liquid, alchemical bottles, magic potion, experimental flask, colored bubbling liquid","bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Potion/vial props. Combos: ARCHETYPE_Alchemist; ARCHETYPE_Mad_Scientist; SCENE_Wizard_Tower.,PROPS
RACE_Angel,"angel, white feathered wings, halo, divine light, angelic beauty, heavenly features, graceful wings","demon, dark, horns, tail",Angel race. Combos: LIGHTING_Volumetric_Rays; STYLE_Soft_Pastel; MOOD_Serene. Conflicts: RACE_Demon_Girl.,RACE
RACE_Dwarf_Female,"1girl, female dwarf, (stocky dwarven woman:1.2), braid, short stature, strong arms, dwarven female, mountain woman, warrior woman","male, tall, slim, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Female dwarf — rare character type. Combos: ARCHETYPE_Male_Blacksmith (female variant); SCENE_Crystal_Cave.,RACE
RACE_Fox_Spirit,"fox girl, kitsune, fox ears, multiple fox tails, japanese spirit, fox features, fluffy tails, ethereal fox spirit","no ears, no tail, western",Kitsune fox spirit. Combos: OUTFIT_Traditional_Japanese; SCENE_Japanese_Night; LIGHTING_Night_Moonlit.,RACE
RACE_Orc_Male,"1boy, male orc, (green skin:1.3), tusks, muscular orc, orcish warrior, barbaric strength, brutal features, war paint","female, 1girl, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Male orc. Combos: ARCHETYPE_Male_Warrior; OUTFIT_Historical_Armor; THEME_Fantasy_Adventure.,RACE
RACE_Undead,"undead character, (gaunt undead face:1.2), pale decaying skin, hollow eyes, death pallor, skeleton showing, lithe undead, lich aesthetic","healthy, living, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Undead character — elegant not gore. Combos: THEME_Horror_Supernatural; SCENE_Foggy_Cemetery.,RACE
REGIONAL_Art_Deco,"(art deco:1.3), geometric elegance, gold accents, stepped forms, 1920s glamour, deco patterns, streamlined","organic, medieval, futuristic",Art Deco style. Combos: MOOD_Elegant; SCENE_Ballroom; ERA_Victorian.,REGIONAL
REGIONAL_Korean_Webtoon,"(korean webtoon style:1.2), manhwa art, clean modern line art, webtoon coloring, bright clean aesthetics","rough, painterly, western cartoon",Korean webtoon/manhwa style. Combos: MOOD_Playful; ARCHETYPE_Idol; OUTFIT_School_Uniform.,REGIONAL
SCENE_Abandoned_Hospital,"abandoned hospital, (decaying medical facility:1.2), peeling paint, broken equipment, dark corridors, rusty beds, overgrown decay, horror hallway","cheerful, bright colors, cute, kawaii, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Abandoned hospital horror scene. Combos: THEME_Horror_Survival; LIGHTING_Emergency_Lights; ATMOSPHERE_Weather_Dense_Fog.,SCENE
SCENE_Ancient_Greece_Agora,"ancient Greece, (Greek agora:1.2), white marble, Parthenon view, philosophers gathered, toga robes, Mediterranean blue sky, olive trees","modern clothing, contemporary, sci-fi, fantasy magic, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Ancient Greek agora/public space. Combos: THEME_Historical_Ancient; ARCHETYPE_Male_Scholar.,SCENE
SCENE_Art_Studio,"art studio, painter's studio, easels, canvas, paint tubes, art supplies, wooden floor studio, artist workspace, creative studio, paint-stained walls","office, outdoor, dungeon",Artist studio. Combos: ACTIVITY_Painting; ARCHETYPE_Alchemist; LIGHTING_Soft_Warm (north light).,SCENE
SCENE_Bedroom,"bedroom, bed, pillows, soft lighting, cozy room, window with curtains, nightstand","outdoor, dungeon, office",Cozy bedroom. Combos: ACTIVITY_Reading; ACTIVITY_Gaming; MOOD_Serene. Universal.,SCENE
SCENE_Convenience_Store_Night,"convenience store at night, (konbini interior:1.2), fluorescent lights, snack aisles, late night shopping, Japanese convenience store, empty aisles","bad anatomy, blurry, low quality, watermark",Late night convenience store. Very anime/slice-of-life. Combos: LIGHTING_Bright_Clinical; THEME_Slice_Of_Life_Cozy.,SCENE
SCENE_Dark_Forest_Path,"dark forest path, (twisted gnarled trees:1.2), winding path, forest shadows, dappled moonlight, foreboding woods, ancient forest, creeping roots","bad anatomy, blurry, low quality, watermark",Dark forest path. Versatile — horror or fantasy. Combos: LIGHTING_Night_Moonlit; THEME_Horror_Supernatural.,SCENE
SCENE_Fantasy_Ruins,"ancient ruins, crumbling stone, overgrown vines, broken columns, ethereal mist, forgotten temple, mystical atmosphere","modern, cafe, office",Fantasy ruins. Combos: ARCHETYPE_Warrior; ARCHETYPE_Succubus; LIGHTING_Volumetric_Rays.,SCENE
SCENE_Forest_Outdoor,"enchanted forest, tall trees, dappled light, mossy ground, nature, woodland path, soft sunlight through leaves","indoor, urban, futuristic",Fantasy forest. Combos: ARCHETYPE_Elf_Ranger; ARCHETYPE_Witch; LIGHTING_Golden_Hour_Sunset.,SCENE
SCENE_Gym_Interior,"gym interior, (modern fitness gym:1.2), weight equipment, mirrors, treadmills, gym lighting, workout space, fitness center","bad anatomy, blurry, low quality, watermark",Modern gym. Combos: BODY_Male_Muscular; BODY_Muscular_Fit; ACTIVITY_Stretching.,SCENE
SCENE_Izakaya_Bar,"Japanese izakaya, (izakaya bar interior:1.2), wooden counter, sake bottles, paper lanterns, warm lighting, cozy Japanese bar, after-work drinks","bad anatomy, blurry, low quality, watermark",Japanese izakaya bar. Combos: LIGHTING_Candlelight; THEME_Slice_Of_Life_Cozy; STYLE_Anime_Classic.,SCENE
SCENE_Magic_Academy,"magic academy, (wizarding school:1.2), floating books, arcane classroom, magical library, floating candles, runes on walls, alchemy lab","bad anatomy, blurry, low quality, watermark",Fantasy magic school. Combos: ARCHETYPE_Male_Mage; ARCHETYPE_Witch; LIGHTING_Stained_Glass_Light.,SCENE
SCENE_Night_Market,"night market, (Asian night market:1.2), food stalls, lanterns, crowds, street food, vendors, neon signs, lively evening market","bad anatomy, blurry, low quality, watermark",Asian night market. Combos: LIGHTING_Neon_Colorful; ATMOSPHERE_Fireflies; THEME_Slice_Of_Life_Cozy.,SCENE
SCENE_Pirate_Ship_Deck,"pirate ship deck, (galleon deck:1.2), wooden planks, rigging, cannon ports, sea waves, jolly roger, ocean horizon, pirate crew","modern clothing, contemporary, sci-fi, fantasy magic, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Pirate ship deck. Combos: ARCHETYPE_Pirate_Captain; ARCHETYPE_Male_Sailor; WEATHER_Windy.,SCENE
SCENE_Rooftop_Garden,"rooftop garden, (urban garden rooftop:1.2), plants and flowers, city skyline background, terrace garden, peaceful urban oasis, sunset view","bad anatomy, blurry, low quality, watermark",Rooftop garden. Combos: ATMOSPHERE_Time_Golden_Hour; THEME_Slice_Of_Life_Cozy.,SCENE
SCENE_Server_Room,"server room, (data center:1.2), rows of servers, blinking lights, cooling fans, blue light, network infrastructure, digital backbone","medieval, fantasy magic, natural landscape, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Server room/data center. Combos: ARCHETYPE_Hacker_Netrunner; LIGHTING_Screen_Glow.,SCENE
SCENE_Space_Debris_Field,"space debris field, (satellite graveyard:1.2), floating wreckage, old satellites, space junk, Earth in background, zero gravity debris","medieval, fantasy magic, natural landscape, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Space debris field exterior. Combos: ARCHETYPE_Astronaut; THEME_SciFi_Space_Opera.,SCENE
SCENE_Throne_Room,"throne room, grand throne, ornate hall, royal chamber, imposing seat of power, regal interior","humble, outdoor, casual",Throne room setting. Combos: ARCHETYPE_Demon_Queen; MOOD_Confident; ERA_Medieval_Fantasy.,SCENE
SCENE_Victorian_Street,"Victorian street, (Victorian era London:1.2), gas lamps, horse carriages, cobblestone, Victorian architecture, top hats, fog, 1800s London","modern clothing, contemporary, sci-fi, fantasy magic, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Victorian era street. Combos: ARCHETYPE_Male_Detective; STYLE_Film_Noir_Classic; PALETTE_Sepia.,SCENE
STYLE_2000s_Y2K,"(Y2K aesthetic:1.2), early 2000s digital, chrome elements, translucent plastic, 2000s internet visual, early CGI feel, bubbly 2000s design","bad anatomy, blurry, low quality, watermark",2000s Y2K digital aesthetic. Combos: PALETTE_High_Contrast.,STYLE
STYLE_80s_VHS,"(VHS tape aesthetic:1.2), video tape grain, scan lines, analog distortion, tracking error, 80s video quality, VHS glitch, home video","bad anatomy, blurry, low quality, watermark",VHS/analog tape aesthetic. Combos: EFFECTS_Chromatic_Aberration; THEME_Horror_Slasher.,STYLE
STYLE_Body_Horror,"(body horror aesthetic:1.2), grotesque transformation, surreal body, organic horror, disturbing anatomy, biological horror, visceral surrealism","cute, clean, bad anatomy, blurry, low quality, watermark","Body horror art style — disturbing, surreal, not gore. Combos: THEME_Horror_Psychological; RACE_Undead.",STYLE
STYLE_Clay_Render,"clay render, clay material, claymation aesthetic, matte clay texture, rounded soft shapes, stop motion feel, clay character","sharp, glossy, photorealistic, flat",Claymation/clay render aesthetic. Combos: MOOD_Playful; ARCHETYPE_Idol; STYLE_Chibi. Distinct from 3D_Render — matte rounded quality.,STYLE
STYLE_Dark_Fantasy_Anime,"(dark fantasy anime:1.2), dramatic anime with dark themes, berserk-style art, detailed dark rendering, intense anime, mature dark anime","bad anatomy, blurry, low quality, watermark",Dark fantasy anime (Berserk-style). Combos: THEME_Fantasy_Dark; ARCHETYPE_Cursed_Knight.,STYLE
STYLE_Found_Footage,"(found footage aesthetic:1.2), handheld camera shake, night vision green, low resolution, date stamp overlay, amateur camera look, shaky cam","bad anatomy, blurry, low quality, watermark",Found footage horror aesthetic. Combos: THEME_Horror_Survival; SCENE_Abandoned_Hospital.,STYLE
STYLE_Ink_Crosshatch,"ink drawing, crosshatching, pen and ink, detailed linework, etching style, ink illustration","colored, soft, painterly",Ink crosshatch illustration. Combos: ERA_Victorian; STYLE_Sketch_Lineart; PALETTE_Monochrome_Noir.,STYLE
STYLE_Modern_Glossy,"modern anime style, polished, glossy finish, contemporary digital art, clean smooth rendering, high production value","sketchy, rough, retro, 3d",Polished modern look. Combos: OUTFIT_Evening_Dress; ARCHETYPE_Idol. Excels on Illustrious.,STYLE
STYLE_Risograph_Print,"(risograph print:1.2), two-color offset printing, slight misregistration, textured paper look, indie print aesthetic, grain overlay, limited palette","bad anatomy, blurry, low quality, watermark",Risograph print aesthetic. Indie/zine look. Combos: PALETTE_Duotone.,STYLE
STYLE_Silent_Film_Era,"silent film aesthetic, (1920s film:1.2), black and white, high contrast, theatrical makeup, expressionist angles, silent era cinema, iris vignette","bad anatomy, blurry, low quality, watermark",1920s silent film aesthetic. Combos: PALETTE_Monochrome_Noir; SCENE_Victorian_Street.,STYLE
STYLE_Technical_Blueprint,"(technical blueprint:1.2), architectural drawing, blue and white blueprint, engineering diagram, schematic lines, technical illustration, cross-section","bad anatomy, blurry, low quality, watermark",Technical blueprint art style. Combos: ARCHETYPE_Mad_Scientist; CHARACTER_Concept_Art_Reference.,STYLE
THEME_Action_Thriller,"(action thriller:1.2), high stakes action, chase scene energy, explosive moment, combat readiness, thriller tension, action movie feel","slow, peaceful, quiet, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Action thriller theme. Combos: CHARACTER_Action_Shot; EFFECTS_Motion_Blur; MOOD_Fierce.,THEME
THEME_Fantasy_Dark,"(dark fantasy:1.2), grimdark, morally grey, brutal fantasy world, dark medieval, blood and iron, grim realism in fantasy setting","cheerful, bright, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Dark/grimdark fantasy theme. Combos: ARCHETYPE_Cursed_Knight; STYLE_Dark_Fantasy_Anime.,THEME
THEME_Horror_Psychological,"(psychological horror:1.2), mental dread, surreal threat, reality bending, paranoia, unreliable perception, mind horror, inner fear","physical, literal, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Psychological horror theme. Combos: SCENE_Mirror_Room; STYLE_Body_Horror; MOOD_Mysterious.,THEME
THEME_Romance_Drama,"(romance drama:1.2), emotional connection, two people moment, tender encounter, romantic tension, dramatic love, emotional peak, romantic scene","action, violent, bad anatomy, bad hands, extra fingers, extra limbs, blurry, jpeg artifacts, text, watermark, low quality",Romance drama theme. Combos: MOOD_Dreamy; LIGHTING_Soft_Warm; SCENE_Ballroom.,THEME
