name,prompt,negative_prompt,description,category
STATE_Ahegao_Extreme,"1girl, (ahegao:1.5), (rolled eyes:1.4), (crossed eyes:1.3), (tongue out:1.3), excessive drooling, fucked silly, mind break expression, pleasure face, eyes rolling back, exaggerated expression","normal face, closed mouth, composed, calm expression",Extreme ahegao expression,STATE
STATE_Crying_Tears,"1girl, crying, tears, teary eyes, (tears streaming:1.3), sobbing, weeping, tear-stained face, watery eyes","dry eyes, no tears, happy",Crying with tears,STATE
STATE_Heart_Eyes,"1girl, (heart-shaped pupils:1.4), heart eyes, love eyes, hearts in eyes, lovestruck, infatuated, charmed, lovesick, hearts","normal eyes, regular pupils",Heart pupils,STATE
STATE_Nipples_Through_Clothes,"1girl, (nipples visible through clothing:1.3), (poking nipples through fabric:1.2), hard nipples through shirt, nipple bumps, erect nipples under clothes, see-through top nipples","topless, nude, thick clothing, padded bra",Nipples visibly poking/showing through clothing. Combos: CLOTHES_Sweater_Oversized; CLOTHES_Fitness_Wear; BREASTS_Nipples_Detailed.,STATE
STATE_Ruined_Makeup,"1girl, (ruined makeup:1.3), (smeared mascara:1.2), running eyeliner, tear-streaked makeup, smudged lipstick, messy cosmetics, makeup running down face, raccoon eyes","clean makeup, perfect makeup, no makeup, pristine",Ruined / smeared makeup. Combos: STATE_Crying_Tears; ACTION_Deepthroat; FLUIDS_Facial_Cumshot; STATE_Exhausted_Used.,STATE
STYLE_3D_Render,"3d render, CGI, 3d art, rendered, computer graphics, 3d character, digital 3d, ray traced, 3dcg, modern 3d","2d, traditional anime, sketch",3D render style,STYLE
STYLE_Dark_Gothic,"dark aesthetic, gothic, crimson, dark colors, moody, Victorian, eerie, ominous, dark atmosphere, heavy shadows","bright, cheerful, colorful, light",Dark gothic style,STYLE
STYLE_Korean_Manhwa,"(manhwa style:1.3), (korean webtoon art:1.2), manhwa illustration, korean comic art, webtoon aesthetic, k-manhwa style","anime, japanese manga, western comic",Korean manhwa / webtoon style. Different from anime aesthetic.,STYLE
STYLE_Pin_Up_Retro,"(pin-up art style:1.3), (retro pin-up:1.2), 1950s pin-up, american retro illustration, classic pin-up girl, cheesecake art, vintage glamour","modern anime, digital, manga",Retro pin-up art. Combos: ARCHETYPE_Cowgirl_Western; LIGHTING_Studio_Three_Point.,STYLE
THEME_Age_Gap,"age gap, (older male:1.3), younger adult female, mature man, age difference, experienced man, daddy, dilf, silver fox","same age, peers, young male, underage female",Age gap mature male adult female,THEME
THEME_Cuckquean,"(cuckquean:1.3), (female cuckold:1.2), girlfriend watching boyfriend cheat, woman watching man with another woman, jealous female observer, reverse NTR female perspective","male cuckold, standard NTR, solo",Cuckquean — female version of cuckold (woman watches her man with another). Combos: GROUP_FFM; NTR_Caught_In_Act; EXPRESSION_Crying_Smiling; NTR_POV_Watching.,THEME
THEME_Interracial_BBC,"interracial, (BBC:1.4), (black male:1.3), dark skin male, (skin contrast:1.2), huge black cock, ebony dick, dark skin on light skin, interracial sex","same race, white male, solo female, no male",Interracial BBC base theme. For dedicated male body use BODY_Male_BBC. Combos: THEME_QoS_Tattoo; THEME_Skin_Contrast; THEME_Snowbunny; THEME_Raceplay; ACTION_Cock_Worship.,THEME
THEME_Monster_Girl,"(monster girl theme:1.3), (monstrous female:1.2), creature girl encounter, fantasy monster female, inhuman girl, unusual creature female","human only, normal girl",Monster girl general theme. Combos: RACE_Slime_Girl; RACE_Centaur_Girl; FURRY_Snake_Naga.,THEME
THEME_Public_Use,"(public use:1.4), (free use:1.3), communal use, public property, available to all, public sex object, free to use, used by strangers, public cumdump","private, exclusive, romantic, vanilla, solo",Public use / free use — more degradation-focused than THEME_Public_Exhibition. Combos: POSE_Stuck_In_Wall; THEME_Gangbang_Multiple; ACTION_Body_Writing; FLUIDS_Excessive_Cum.,THEME
THEME_QoS_Womb_Tattoo,"(womb tattoo:1.5), (uterus tattoo:1.4), tattoo on lower abdomen, pelvic tattoo, spade womb tattoo, breeding mark tattoo, womb mark, lower belly tattoo, pubic tattoo","no tattoo, clean belly, unmarked, back tattoo",Womb tattoo — lower abdomen/pelvic area. Can be QoS spade or general breeding mark. Combos: THEME_QoS_Tattoo; THEME_Breeding_Impregnation; CAMERA_Pussy_Focus.,THEME
THEME_Snowbunny,"(snowbunny:1.3), (white girl BBC:1.2), pale skin female with dark male, innocent white girl corrupted, interracial contrast, fair skin against dark skin, vanilla girl turned","same race, dark skin female, no contrast",Snowbunny — pale-skin female + dark male emphasis. More innocent/corruption angle than QoS (which is lifestyle). Combos: THEME_Interracial_BBC; THEME_Corruption_Moral; BODY_Petite_Small.,THEME
THEME_Teasing,"(teasing:1.3), flirting, provocative tease, (not yet:1.2), holding back, slow burn, taunting, playful denial, refusing, teasing expression","explicit, completed, penetration",Teasing/implied theme. Great for borderline content. Combos: EXPRESSION_Smug; CLOTHES_Partially_Clothed; CAMERA_POV.,THEME
